,company_name,holding_company,company_description,telephone_number,company_website,facebook,twitter,instagram,weibo,google,line,wechat,youtube
0,Audemars Piguet,Audemars Piguet Holding Sa,"In 1875 Jules Louis Audemars, decided to join forces with Edward Auguste Piguet, in order to develop and craft watches equipped with complex mechanisms. They shared a passion for watchmaking and a mastery of the art of precision that still characterizes the company today.
Today, Audemars Piguet is still the oldest fine watch-making manufacturer never to have left the hands of its founding families. This gives the company an independent streak that allows it to go its own way and follow its own unique vision.",+41 21 845 14 00,http://www.audemarspiguet.com,https://www.facebook.com/audemarspiguet,https://twitter.com/audemarspiguet,http://instagram.com/audemarspiguet,http://weibo.com/audemarspiguetchina,https://plus.google.com/+audemarspiguet/posts,http://nav.cx/dQEQ8ea,https://www.audemarspiguet.com/images/social/wechat.png,http://www.youtube.com/user/aptvofficial
1,Cartier,Compagnie Financière Richemont S.A.,"Founded in 1847 in Paris, Cartier stands as one of the world’s most esteemed and respectful companies in the luxury goods industry. Today, the Maison is renowned worldwide for its high jewelry creations and watches, perfumes and prestige accessories - symbols of craftsmanship and elegance, quality and excellence.",+41 22 715 35 00,http://www.cartier.com/,http://www.facebook.com/Cartier,http://twitter.com/Cartier,http://instagram.com/cartier,http://e.weibo.com/cartierchina,null,http://www.cartier.jp/ja/pages/japan-events/cartier-line-official-account-announcement.html,null,http://www.youtube.com/cartier
